Game_Date,Sport,League_ID,Game_Status,Home_Team,Away_Team,Home_Score_Final,Away_Score_Final,Game_ID
2024-04-27 17:00:00,Handball,1,Finished,Tulln W,St. Polten W,,,150773
2024-04-28 12:45:00,Handball,1,Finished,Fuchse W,Graz W,,,150771
2024-05-04 15:00:00,Handball,1,Finished,St. Polten W,Atzgersdorf W,,,150779
2024-05-04 17:00:00,Handball,1,Finished,Graz W,Tulln W,,,150774
2024-05-04 17:00:00,Handball,1,Finished,Hypo NO W,Fuchse W,,,150775
2024-05-04 17:00:00,Handball,1,Finished,MGA Handball W,Korneuburg W,,,150776
2024-05-04 17:00:00,Handball,1,Finished,roomz JAGS WV W,Ferlach/Feldkirchen W,,,150777
2024-05-04 17:00:00,Handball,1,Finished,Stockerau W,Feldkirch W,,,150778
2024-05-08 16:00:00,Handball,1,Finished,Stockerau W,Hypo NO W,,,160022
2024-05-08 18:20:00,Handball,1,Finished,Atzgersdorf W,Ferlach/Feldkirchen W,,,160023
2024-05-11 18:20:00,Handball,1,Finished,Hypo NO W,Stockerau W,,,160024
2024-05-12 16:00:00,Handball,1,Finished,Ferlach/Feldkirchen W,Atzgersdorf W,,,160025
2024-05-19 18:20:00,Handball,1,Finished,Hypo NO W,Atzgersdorf W,,,160160
2024-05-24 18:20:00,Handball,1,Finished,Atzgersdorf W,Hypo NO W,,,160161
