Game_Date,Sport,League_ID,Game_Status,Home_Team,Away_Team,Home_Score_Final,Away_Score_Final,Game_ID
2023-03-05 20:05:00,Baseball,1,Finished,Texas Rangers,Los Angeles Angels,,,135853
2023-03-05 20:05:00,Baseball,1,Finished,San Francisco Giants,Kansas City Royals,,,135856
2023-03-05 20:05:00,Baseball,1,Finished,Cleveland Guardians,Arizona Diamondbacks,,,135861
2023-03-05 20:05:00,Baseball,1,Finished,Los Angeles Dodgers,Chicago White Sox,,,135864
2023-03-05 20:10:00,Baseball,1,Finished,Milwaukee Brewers,Seattle Mariners,,,135849
2023-03-05 20:10:00,Baseball,1,Finished,San Diego Padres,Oakland Athletics,,,135850
2023-03-05 20:10:00,Baseball,1,Finished,Los Angeles Angels,Cincinnati Reds,,,135857
2023-03-05 20:10:00,Baseball,1,Finished,Colorado Rockies,Chicago Cubs,,,135860
2023-03-05 21:05:00,Baseball,1,Finished,Oakland Athletics,Cincinnati Reds,,,143949
2023-03-06 18:05:00,Baseball,1,Finished,St.Louis Cardinals,Houston Astros,,,135866
2023-03-06 18:05:00,Baseball,1,Finished,Boston Red Sox,Detroit Tigers,,,135873
2023-03-06 18:05:00,Baseball,1,Finished,Baltimore Orioles,Philadelphia Phillies,,,135874
2023-03-06 18:05:00,Baseball,1,Finished,Tampa Bay Rays,Miami Marlins,,,135875
2023-03-06 20:05:00,Baseball,1,Finished,Los Angeles Dodgers,San Diego Padres,,,135865
2023-03-06 20:05:00,Baseball,1,Finished,Kansas City Royals,Arizona Diamondbacks,,,135871
2023-03-06 20:10:00,Baseball,1,Finished,Seattle Mariners,Chicago Cubs,,,135867
2023-03-06 20:10:00,Baseball,1,Finished,Los Angeles Angels,Cleveland Guardians,,,135870
2023-03-06 20:10:00,Baseball,1,Finished,Colorado Rockies,Texas Rangers,,,135872
2023-03-06 23:35:00,Baseball,1,Finished,New York Yankees,Pittsburgh Pirates,,,135868
2023-03-07 01:05:00,Baseball,1,Finished,Cincinnati Reds,Colorado Rockies,,,135869
2023-03-07 18:05:00,Baseball,1,Finished,Detroit Tigers,St.Louis Cardinals,,,135876
2023-03-07 18:05:00,Baseball,1,Finished,Philadelphia Phillies,Tampa Bay Rays,,,135877
2023-03-07 18:05:00,Baseball,1,Finished,Minnesota Twins,Baltimore Orioles,,,135885
2023-03-07 18:05:00,Baseball,1,Finished,Pittsburgh Pirates,Toronto Blue Jays,,,135886
2023-03-07 18:10:00,Baseball,1,Finished,Miami Marlins,Washington Nationals,,,135884
2023-03-07 20:05:00,Baseball,1,Finished,Chicago White Sox,Milwaukee Brewers,,,135881
2023-03-07 20:05:00,Baseball,1,Finished,Cincinnati Reds,San Francisco Giants,,,135882
2023-03-07 20:05:00,Baseball,1,Finished,Texas Rangers,Chicago Cubs,,,135887
2023-03-07 20:10:00,Baseball,1,Finished,San Diego Padres,Los Angeles Angels,,,135878
2023-03-07 20:10:00,Baseball,1,Finished,Arizona Diamondbacks,Oakland Athletics,,,135879
2023-03-07 23:05:00,Baseball,1,Finished,Atlanta Braves,Boston Red Sox,,,135880
2023-03-07 23:05:00,Baseball,1,Finished,Houston Astros,New York Mets,,,135883
2023-03-08 18:05:00,Baseball,1,Finished,Detroit Tigers,Washington Nationals,,,135888
2023-03-08 18:05:00,Baseball,1,Finished,New York Yankees,St.Louis Cardinals,,,135893
2023-03-08 18:05:00,Baseball,1,Finished,Baltimore Orioles,Pittsburgh Pirates,,,135896
2023-03-08 18:07:00,Baseball,1,Finished,Toronto Blue Jays,Minnesota Twins,,,135892
2023-03-08 20:10:00,Baseball,1,Finished,Arizona Diamondbacks,Texas Rangers,,,135889
2023-03-08 20:10:00,Baseball,1,Finished,San Diego Padres,Cincinnati Reds,,,135890
2023-03-08 20:10:00,Baseball,1,Finished,Los Angeles Angels,Colorado Rockies,,,135894
2023-03-09 01:05:00,Baseball,1,Finished,Los Angeles Dodgers,Seattle Mariners,,,135891
2023-03-09 01:05:00,Baseball,1,Finished,Kansas City Royals,Chicago White Sox,,,135895
2023-03-09 18:05:00,Baseball,1,Finished,Philadelphia Phillies,Baltimore Orioles,,,135897
2023-03-09 18:05:00,Baseball,1,Finished,Pittsburgh Pirates,Detroit Tigers,,,135899
2023-03-09 18:05:00,Baseball,1,Finished,New York Yankees,Boston Red Sox,,,135903
2023-03-09 18:05:00,Baseball,1,Finished,Tampa Bay Rays,Toronto Blue Jays,,,143950
2023-03-09 18:07:00,Baseball,1,Finished,Toronto Blue Jays,Atlanta Braves,,,135901
2023-03-09 20:05:00,Baseball,1,Finished,Chicago Cubs,Cincinnati Reds,,,135898
2023-03-09 20:05:00,Baseball,1,Finished,San Francisco Giants,Milwaukee Brewers,,,135900
2023-03-09 20:05:00,Baseball,1,Finished,Oakland Athletics,Los Angeles Dodgers,,,135902
